,Noun,Count
0,Gatsby,249
1,Tom,188
2,Daisy,180
3,Wilson,77
4,Jordan,70
5,Baker,39
6,Miss,34
7,Well,32
8,Wolfshiem,29
9,Myrtle,23
10,Nick,22
11,Don,22
12,Michaelis,21
13,Come,21
14,God,20
