,count,mean,std,min,25%,50%,75%,max
tfidf_n_sum,6152.0,5.123828862966118e-05,0.0002123593119558293,0.0,0.0,0.0,2.7752979533555306e-05,0.004596880896446781
tfidf_jp_sum,6152.0,6.324633932003016e-05,0.00021235931195582932,0.0,7.67936453031831e-06,1.4334813789927535e-05,4.2370823114409717e-05,0.004858495226536329
tfidf_cp_sum,6152.0,6.324633932003016e-05,0.00021235931195582932,0.0,7.67936453031831e-06,1.4334813789927535e-05,4.2370823114409717e-05,0.004858495226536329
tfidf_l2_sum,6152.0,6.419270677753951e-05,0.0002123593119558293,0.0,1.1967372186473065e-05,1.581547227231952e-05,4.273433540234335e-05,0.004889133435074713
tfidf_logn_sum,6152.0,5.2574022541172544e-05,0.00021235931195582924,0.0,0.0,0.0,2.8951450096241478e-05,0.004291885860882465
tfidf_sub_sum,6152.0,5.148171582663079e-05,0.00021235931195582924,0.0,0.0,0.0,2.7965298817005256e-05,0.004556687013134577
tfidf_max_sum,6152.0,6.055084791988435e-05,0.00021235931195582924,0.0,6.208177532050193e-06,1.3968399447112937e-05,3.761677858173354e-05,0.00432786998409045
tfidf_bool_sum,6152.0,6.339865807570545e-05,0.00021235931195582924,0.0,5.32787072281763e-06,1.1366124208677605e-05,4.143704568167453e-05,0.003962137535634582
